pointid,code_2009
2342,460200
2278,469000
2279,460100
2141,532800
2148,450600
2150,450500
2151,440800
2084,451400
2086,450700
2087,440900
2088,441700
2089,440700
2090,440400
2091,440300
2012,530900
2013,530800
2016,532500
2017,532600
2019,451000
2021,450100
2022,450800
2023,450400
2025,440600
2026,440100
2027,441300
2028,441500
2029,440500
2033,710500
2034,710900
1947,530500
1951,530400
1956,451200
1958,450200
1960,451100
1961,441800
1962,440200
1963,441600
1965,441400
1966,350600
1967,350200
1969,0
1970,710200
1885,532900
1886,532300
1887,530100
1888,530300
1890,520400
1895,450300
1896,431100
1898,431000
1900,360700
1901,350800
1903,350300
1906,710100
1819,533300
1821,530700
1822,510400
1825,520200
1827,520100
1828,522700
1829,522600
1831,430500
1833,430400
1835,360800
1838,350400
1840,350100
1756,533400
1759,513400
1761,530600
1762,522400
1765,522200
1767,431200
1768,431300
1769,430300
1770,360300
1771,360500
1773,361000
1775,350700
1777,330300
1685,542200
1697,511500
1698,510500
1700,520300
1702,433100
1704,430900
1706,430100
1707,360900
1709,360100
1710,360600
1711,330800
1712,331100
1714,331000
1615,542300
1624,542600
1631,511800
1632,511100
1633,510300
1636,500100
1639,430800
1640,430700
1641,421000
1642,430600
1643,421200
1644,360400
1646,360200
1647,341000
1648,330100
1649,330600
1650,330200
1556,540100
1562,542100
1565,513300
1568,510100
1569,512000
1570,510900
1571,511600
1573,500200
1574,422800
1576,420500
1577,429000
1579,420100
1580,421100
1581,340800
1582,340700
1583,341800
1584,330500
1585,330400
1587,330900
1505,510600
1507,511300
1508,511700
1512,420600
1513,420800
1514,420900
1517,341500
1518,340100
1519,320100
1520,320400
1521,320200
1522,310100
1426,542400
1439,513200
1442,510800
1444,511900
1445,610900
1447,420300
1451,411500
1452,341200
1453,340400
1455,341100
1456,321000
1457,321200
1458,320600
1355,542500
1378,621200
1380,610700
1382,611000
1385,411300
1386,410400
1387,411600
1389,340600
1390,340300
1391,320800
1393,320900
1303,632700
1308,632600
1311,623000
1314,620500
1316,610300
1317,610100
1318,610500
1320,411200
1321,410300
1322,410100
1323,410200
1324,411400
1326,320300
1328,320700
1245,632500
1246,632300
1248,622900
1249,621100
1251,620800
1254,610200
1256,140800
1257,140500
1259,410500
1260,371700
1261,370800
1263,371300
1264,371100
1175,632800
1182,630100
1183,632100
1184,620100
1185,620400
1188,621000
1190,610600
1192,141000
1193,140400
1195,130400
1196,371500
1198,370100
1199,370300
1200,370700
1201,370200
1097,653200
1117,632200
1122,640500
1123,640300
1128,141100
1129,140100
1131,130500
1132,131100
1133,371400
1134,371600
1135,370500
1137,370600
1138,371000
1030,653100
1052,620700
1055,620300
1056,620600
1059,640100
1062,610800
1065,140900
1066,140300
1067,130100
1069,130900
964,653000
976,652800
987,620200
995,150300
997,150600
1001,140600
1002,140200
1004,130600
1005,131000
1006,120100
1007,130200
1011,210200
906,652900
921,620900
927,152900
936,150100
940,130700
941,110100
944,130300
945,211400
947,210800
948,210300
949,210600
842,659000
868,150800
871,150200
873,150900
878,130800
881,211300
882,210700
883,211100
884,211000
885,210400
886,220500
786,652100
818,210900
820,210100
821,211200
822,220400
824,220600
715,654000
720,650100
726,652200
751,150400
754,150500
757,220300
759,220200
762,222400
651,652700
657,652300
684,152500
693,220700
694,220100
698,231000
589,654200
590,650200
628,220800
632,230100
635,230900
637,230300
529,654300
562,152200
565,230600
567,231200
573,230500
501,230200
506,230700
507,230400
509,230800
369,150700
375,231100
181,232700
2087,450900
2088,445300
2090,441900
2090,442000
2090,820000
2091,810000
2022,451300
2025,441200
2029,445100
2029,445200
2033,710600
2033,710800
2033,711100
2033,711700
1947,533100
1969,710400
1970,710300
1970,710700
1890,522300
1903,350500
1840,350900
1770,430200
1710,361100
1632,511400
1633,511000
1644,420200
1648,330700
1579,420700
1582,341700
1505,510700
1514,421300
1518,341400
1519,340200
1519,340500
1521,320500
1522,310200
1451,411700
1456,321100
1386,411100
1389,341600
1390,341300
1391,321300
1317,610400
1322,411000
1326,370400
1251,640400
1257,410800
1259,410600
1259,410700
1260,410900
1198,370900
1198,371200
1129,140700
995,640200
1006,120200
941,110200
885,210500
